학교명,임차비_천원,인건비_천원,이용학생수,차량대수,차량상세,비고,학교급,총비용_천원,학생1인당_총비용_천원,운영상태
진잠초,40000,6600,4,1,21인승 1대,,초,46600,11650.0,운영
구즉초,40000,6600,1,1,5인승 1대,학생 1명 — 효율성 검토 대상,초,46600,46600.0,운영
남선초,50000,6600,43,2,34인승 1대+21인승 1대,,초,56600,1316.0,운영
기성초 및 길헌분교,80000,13200,13,1,25인승 1대,본교+분교 합산,초,93200,7169.0,운영
대전원신흥초 복용분교장,780000,72600,670,9,9대,"대규모 분교, 최대 규모",초,852600,1273.0,운영
흥도초,132000,17600,65,0,미계약(하반기 지원),2026 상반기 미운영,초,149600,2302.0,예정
계산초,57000,9900,44,1,1대,,초,66900,1520.0,운영
장동초,50000,6600,25,1,1대,,초,56600,2264.0,운영
동명초,50000,6600,39,1,1대,,초,56600,1451.0,운영
산내초,40000,6600,7,1,1대,,초,46600,6657.0,운영
산서초,50000,6600,40,1,1대,,초,56600,1415.0,운영
산흥초,50000,6600,49,1,1대,,초,56600,1155.0,운영
세천초,50000,6600,51,1,1대,,초,56600,1110.0,운영
신탄진용정초,40000,6600,0,0,0,"★ 이용학생 0명, 운영 미가동",초,46600,,명목
