school_short,purpose,차수,length_m,slope_mean,slope_max,slope_pct_over_10deg
동명초,하교,1,313.23969511503566,11.16989517211914,17.868980407714844,71.875
동명초,등교,1,324.84779477908796,10.804097175598145,18.781734466552734,69.6969696969697
기성초 및 길헌분교,등교,1,2238.0640391219713,12.698494911193848,27.086584091186523,59.375
기성초 및 길헌분교,등교,1,1479.9728709143926,13.776192665100098,33.645545959472656,56.08108108108109
신탄진용정초,하교,2,3073.18806966954,9.342897415161133,22.94361686706543,48.701298701298704
남선초,등교,1,1087.1398985706467,8.596269607543945,20.118478775024414,44.95412844036697
남선초,하교,2,1087.1398985706467,8.596269607543945,20.118478775024414,44.95412844036697
산서초,등교,1,9035.14247973618,9.406305313110352,29.32733917236328,42.256637168141594
산서초,등교,1,9036.143702271225,9.295638084411621,29.810544967651367,40.04424778761062
산내초,등교,1,5515.040234296105,8.638896942138672,28.959331512451172,39.492753623188406
