학교명,구,미운영순위,최근접_정류장_거리m,최근접_정류장_소속학교,500m_이내,분류
기성중학교,서구,1,131.0,기성초등학교·길헌분교,Y,기존 노선 연장 가능
대전둔곡중학교,유성구,2,2156.0,구즉초등학교,,신규 노선 필요
대전둔곡초등학교,유성구,3,2156.0,구즉초등학교,,신규 노선 필요
신탄중앙중학교,대덕구,4,3158.0,신탄진용정초등학교 및 장동초등학교,,신규 노선 필요
신탄진중학교,대덕구,5,3713.0,구즉초등학교,,신규 노선 필요
대전자운중학교,유성구,6,5033.0,구즉초등학교,,신규 노선 필요
대전석봉초등학교,대덕구,7,3595.0,신탄진용정초등학교 및 장동초등학교,,신규 노선 필요
새일초등학교,대덕구,8,2428.0,신탄진용정초등학교 및 장동초등학교,,신규 노선 필요
대전자운초등학교,유성구,9,4962.0,구즉초등학교,,신규 노선 필요
대전목상초등학교,대덕구,10,2799.0,구즉초등학교,,신규 노선 필요
회덕중학교,대덕구,11,302.0,신탄진용정초등학교 및 장동초등학교,Y,기존 노선 연장 가능
대전덕명중학교,유성구,12,394.0,계산초등학교,Y,기존 노선 연장 가능
대전송강중학교,유성구,13,279.0,구즉초등학교,Y,기존 노선 연장 가능
와동초등학교,대덕구,14,246.0,신탄진용정초등학교 및 장동초등학교,Y,기존 노선 연장 가능
신탄진초등학교,대덕구,15,3741.0,구즉초등학교,,신규 노선 필요
성덕중학교,유성구,16,4317.0,대전원신흥초등학교 복용분교장,,신규 노선 필요
진잠중학교,유성구,17,145.0,남선초등학교,Y,기존 노선 연장 가능
학하초등학교,유성구,18,787.0,계산초등학교,,신규 노선 필요
대전은어송중학교,동구,19,257.0,산내초등학교,Y,기존 노선 연장 가능
덕송초등학교,유성구,20,1945.0,계산초등학교,,신규 노선 필요
대전문지중학교,유성구,20,2160.0,신탄진용정초등학교 및 장동초등학교,,신규 노선 필요
동신중학교,동구,22,196.0,동명초등학교,Y,기존 노선 연장 가능
대전두리중학교,유성구,23,1255.0,구즉초등학교,,신규 노선 필요
금성초등학교,유성구,24,4628.0,대전원신흥초등학교 복용분교장,,신규 노선 필요
대전새미래중학교,유성구,25,3945.0,대전원신흥초등학교 복용분교장,,신규 노선 필요
대전새여울초등학교,대덕구,26,3827.0,구즉초등학교,,신규 노선 필요
대전옥계초등학교,중구,27,857.0,산흥초등학교,,신규 노선 필요
대전정림중학교,서구,28,2207.0,산서초등학교,,신규 노선 필요
대전외삼중학교,유성구,29,5299.0,대전원신흥초등학교 복용분교장,,신규 노선 필요
동대전중학교,동구,30,1663.0,동명초등학교,,신규 노선 필요
