학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,최근접_사업,최근접_거리m,영향권,_원_도심거리m,_원_학생수,_원_학교밀도,적격성_도심거리,적격성_학교규모,적격성_학교밀도,적격성점수,전체순위,적격성순위,현행운영여부,미운영순위
중,공립,서구,기성중학교,대전광역시 서구 장안로 54.(흑석동),본교,29,127.3411563,36.2499908,기성동,정림동1,6847.371381948651,1.5km 초과,11797.752118102524,29.0,0,0.8020695165824369,0.9862241703193487,1.0,0.9379,5,5,,1.0
중,공립,유성구,대전둔곡중학교,대전광역시 유성구 과학인재4길 10(둔곡동),본교,79,127.3646634,36.4534382,구즉동,덕암동1,5089.064042468478,1.5km 초과,11566.810431900603,79.0,0,0.785984008821023,0.954915466499687,1.0,0.9268,6,6,,2.0
초,공립,유성구,대전둔곡초등학교,대전광역시 유성구 과학인재4길 10(둔곡동),본교,428,127.3646634,36.4534382,구즉동,덕암동1,5089.064042468478,1.5km 초과,11566.810431900603,428.0,0,0.785984008821023,0.736380713838447,1.0,0.8831,9,9,,3.0
중,공립,대덕구,신탄중앙중학교,대전광역시 대덕구 덕암로 233. 24 (덕암동),본교,265,127.4243139,36.4413849,덕암동,덕암동1,695.6789443909959,1km 이내,10705.153905860072,265.0,1,0.725968067285118,0.8384470882905448,0.95,0.8605,13,13,,4.0
중,사립,대덕구,신탄진중학교,대전광역시 대덕구 석봉로 15. 신탄진중학교 (석봉동),본교,409,127.4225837,36.4475861,석봉동,덕암동1,164.1666809395215,1km 이내,11308.081337430525,409.0,1,0.7679630576205404,0.7482780212899186,0.95,0.855,14,14,,5.0
중,공립,유성구,대전자운중학교,대전광역시 유성구 자운로97번길 356(신봉동. 자운중학교),본교,98,127.3382419,36.4118922,신성동,도룡동2,4714.861283052451,1.5km 초과,7983.598025730912,98.0,0,0.5364067587448202,0.9430181590482154,1.0,0.8495,15,15,,6.0
초,공립,대덕구,대전석봉초등학교,대전광역시 대덕구 신탄진남로 20. 대전석봉초등학교 (신탄진동. 대전석봉초등학교),본교,84,127.4347803,36.4470316,신탄진동,신탄진동1,333.551369631059,1km 이내,11628.266874102479,84.0,4,0.7902645616059492,0.9517845961177207,0.8,0.8274,17,17,,7.0
초,공립,대덕구,새일초등학교,대전광역시 대덕구 덕암로125번길 15(덕암동.새일초등학교),본교,149,127.4195224,36.4317546,덕암동,덕암동1,1697.1872436969152,1.5km 초과,9554.97976923291,149.0,2,0.6458563503146384,0.9110832811521603,0.9,0.826,18,18,,8.0
초,공립,유성구,대전자운초등학교,대전광역시 유성구 자운로97번길 380(신봉동.자운초등학교),본교,357,127.3387617,36.4123998,신성동,도룡동2,4720.382725821635,1.5km 초과,8007.764161602424,357.0,0,0.5380899739863714,0.7808390732623669,1.0,0.8176,19,19,,9.0
초,공립,대덕구,대전목상초등학교,대전광역시 대덕구 대덕대로1486번길 117(목상동. 대전목상초등학교),본교,161,127.4126245,36.4457981,목상동,덕암동1,753.2518583028506,1km 이내,10878.147957940528,161.0,4,0.738017417115298,0.9035691922354414,0.8,0.8021,20,20,,10.0
중,공립,대덕구,회덕중학교,대전광역시 대덕구 신탄진로218번길 22(와동. 대전회덕중학교),본교,111,127.4256826,36.4009441,회덕동,신대주공,380.32755621643145,1km 이내,6714.003382245605,111.0,1,0.4479771866415989,0.9348778960551033,0.95,0.7964,21,21,,11.0
중,공립,유성구,대전덕명중학교,대전광역시 유성구 학하중앙로 61. 대전덕명중학교 (덕명동. 대전덕명중학교),본교,494,127.3027397,36.3458099,학하동,장대A,3076.041219256814,1.5km 초과,7354.004580821873,494.0,0,0.49255443216327405,0.6950532247964935,1.0,0.7868,22,22,,12.0
중,공립,유성구,대전송강중학교,대전광역시 유성구 와룡로 122(송강동. 송강중학교),본교,292,127.3816676,36.4376479,구즉동,덕암동1,3665.8392519887975,1.5km 초과,9681.051699928908,292.0,3,0.6546374891945798,0.8215403882279273,0.85,0.7857,23,23,,13.0
초,공립,대덕구,와동초등학교,대전광역시 대덕구 신탄진로 189(신대동. 와동초등학교),본교,170,127.4222878,36.3971876,회덕동,연축주공,202.16601299561756,1km 이내,6198.6179682727225,170.0,1,0.4120796567806114,0.8979336255479023,0.95,0.7782,24,24,,14.0
초,공립,대덕구,신탄진초등학교,대전광역시 대덕구 석봉로3번길 50(석봉동. 신탄진초등학교),본교,263,127.4223133,36.4494593,석봉동,덕암동1,299.4887910622718,1km 이내,11499.146770178753,263.0,5,0.7812711119261729,0.8396994364433312,0.75,0.7773,25,25,,15.0
중,사립,유성구,성덕중학교,대전광역시 유성구 신성로 19(신성동. 성덕중학교),본교,257,127.3448873,36.3866583,신성동,도룡동2,2858.9157444729126,1.5km 초과,5366.808061043622,257.0,0,0.3541425864369928,0.8434564809016907,1.0,0.7749,27,27,,16.0
중,공립,유성구,진잠중학교,대전광역시 유성구 진잠로 60-23(원내동. 진잠중학교),본교,209,127.3184051,36.2969898,진잠동,정림동1,4616.091626470098,1.5km 초과,8384.065141192095,209.0,3,0.5643000204589901,0.873512836568566,0.85,0.769,28,28,,17.0
초,공립,유성구,학하초등학교,대전광역시 유성구 진잠옛로 165. 학하초등학교 (학하동),본교,156,127.3122319,36.3343471,학하동,장대A,3343.265548136355,1.5km 초과,6725.105671779975,156.0,2,0.44875048126593287,0.9067000626174077,0.9,0.766,29,29,,18.0
중,공립,동구,대전은어송중학교,대전광역시 동구 동구청로 26(대성동. 대전은어송중학교),본교,733,127.4609474,36.3004121,산내동,옥계동4,672.6587035178833,1km 이내,8821.865738495246,733.0,1,0.5947936269693112,0.5453976205385097,0.95,0.7625,30,30,,19.0
초,공립,유성구,덕송초등학교,대전광역시 유성구 현충원로 265(덕명동),본교,157,127.3019117,36.3611802,학하동,장대A,2743.125889331805,1.5km 초과,7505.787795477517,157.0,3,0.5031264086546079,0.9060738885410144,0.85,0.7572,31,31,,20.0
중,공립,유성구,대전문지중학교,대전광역시 유성구 전민로 53(전민동.  문지중학교),본교,190,127.3990807,36.3968298,전민동,신대주공,2054.4785756734564,1.5km 초과,5313.552179022102,190.0,1,0.350433217558266,0.8854101440200376,0.95,0.7572,31,31,,20.0
중,공립,동구,동신중학교,대전광역시 동구 동부로 56-22(판암동. 동신중학교),본교,71,127.459643,36.3200355,판암2동,판암2,597.8589983551682,1km 이내,7537.978494469053,71.0,4,0.5053685492875508,0.9599248591108328,0.8,0.7436,33,33,,22.0
중,공립,유성구,대전두리중학교,대전광역시 유성구 와룡로 37(송강동),본교,468,127.3820834,36.428809,구즉동,덕암동1,4022.162041198942,1.5km 초과,8699.983157708084,468.0,3,0.5863042839170618,0.7113337507827175,0.85,0.7432,34,34,,23.0
초,공립,유성구,금성초등학교,대전광역시 유성구 신성로72번길 5(신성동. 금성초등학교),본교,338,127.3500818,36.3893002,신성동,도룡동2,2471.3047868108856,1.5km 초과,5305.725704573552,338.0,1,0.34988808940250904,0.7927363807138385,0.95,0.7385,35,35,,24.0
중,공립,유성구,대전새미래중학교,대전광역시 유성구 지족동로 55(지족동),본교,406,127.3050716,36.3792504,노은3동,장대A,3276.9454450817216,1.5km 초과,7811.205344022152,406.0,3,0.5243992954529283,0.7501565435190983,0.85,0.7324,36,36,,25.0
초,공립,대덕구,대전새여울초등학교,대전광역시 대덕구 대덕대로 1585. 대전새여울초등학교,본교,881,127.4224192,36.4517219,석봉동,덕암동1,539.7005480089683,1km 이내,11741.927826752244,881.0,4,0.7981812533305386,0.45272385723231057,0.8,0.73,37,37,,26.0
초,공립,중구,대전옥계초등학교,대전광역시 중구 모암로 35. 대전옥계초등학교 (옥계동. 대전옥계초등학교),본교,109,127.4483618,36.3009946,석교동,옥계동3,204.9831183949042,1km 이내,7930.10943524632,109.0,5,0.5326811812991151,0.9361302442078898,0.75,0.722,38,38,,27.0
중,공립,서구,대전정림중학교,대전광역시 서구 괴곡길 70(괴곡동),본교,138,127.3609965,36.2935839,정림동,정림동1,1694.726156951183,1.5km 초과,6645.826169413221,138.0,4,0.4432285199794528,0.9179711959924859,0.8,0.7166,40,40,,28.0
중,공립,유성구,대전외삼중학교,대전광역시 유성구 반석동로 75(반석동. 외삼중학교),본교,827,127.3101903,36.3940423,노은3동,장대A,4302.568222951346,1.5km 초과,8238.110524017138,827.0,2,0.5541340163650855,0.4865372573575454,0.9,0.7135,41,41,,29.0
중,공립,동구,동대전중학교,대전광역시 동구 충정로 73-6. 동대전중학교(가양동. 동대전중학교),본교,140,127.4559046,36.3451364,가양2동,자양동2,580.4889127451258,1km 이내,6433.703026043469,140.0,4,0.42845375789485324,0.9167188478396995,0.8,0.7119,42,42,,30.0
